id,id_str,name,screen_name,location,url,description,protected,verified,followers_count,friends_count,listed_count,favourites_count,statuses_count,created_at,profile_banner_url,profile_image_url_https,default_profile,default_profile_image,withheld_in_countries,status
493984182.0,493984182.0,"Tristram 💙 #BLM We're losing our NHS, fight now",TristramWyatt,London,,"🏳️‍🌈 We need a #ProgressiveAlliance @MakeVotesCount Stop NHS privatization.  #NHSblueheart 💙
Likes/RTs ≠ endorsement. European. @ScientistsX @GCChemosensoryR",False,False,3430.0,4907.0,196.0,278844.0,367384.0,2012-02-16 11:56:19,https://pbs.twimg.com/profile_banners/493984182/1639580649,https://pbs.twimg.com/profile_images/1415579471684542464/37hs05qd_normal.jpg,True,False,[],normal
629751550.0,629751550.0,Not-all-heroes-wear-capes,Mykiwitwit,,,Twitter is a forum - NOT a right to say whateva without any consequences!,False,False,597.0,89.0,3.0,1003386.0,414752.0,2012-07-08 00:08:13,https://pbs.twimg.com/profile_banners/629751550/1646105768,https://pbs.twimg.com/profile_images/1534372114740002816/dWE30mG5_normal.jpg,False,False,[],normal
1.1779211388502426e+18,1.1779211388502426e+18,Jack,LakeOzarks60mm,Lake of the Ozarks,https://t.co/57Q2pLJBuQ,"Husband, Father & Grandfather fighting for Truth.
Defeat, Resist and Spread the Truth.
Brother of the Fish Whispering Atheist
Atheist at Heart
No DM's Please",False,False,2771.0,3440.0,6.0,52494.0,108959.0,2019-09-28 12:21:37,https://pbs.twimg.com/profile_banners/1177921138850242560/1664453276,https://pbs.twimg.com/profile_images/1233366744791687168/rZ1H-0sk_normal.jpg,True,False,[],normal
230325871.0,230325871.0,Mary Olivia 🦖,amalgamary,the Bay Area,,"Too fickle for a favorite focus; fair to say I fancy fiction, fairness, freethought, flair, feminism, and followers. 
she/her | BLM | abolish police & prisons",False,False,512.0,549.0,14.0,9311.0,191273.0,2010-12-25 01:59:33,https://pbs.twimg.com/profile_banners/230325871/1375915436,https://pbs.twimg.com/profile_images/1058016185638301697/ebV8aiGh_normal.jpg,False,False,[],normal
53563332.0,53563332.0,John Oeffinger,johnoeffinger75,"Austin, Texas",https://t.co/NqucRN2ZV2,"🏳️‍⚧️ Wear Your Mask 🇺🇦🌈🏳️‍🌈(he/him/his) transgender health, public health, photog, technologist, eLearning, trans rights tweets & retweets are my views",False,False,2436.0,3267.0,616.0,405064.0,287784.0,2009-07-04 01:54:33,https://pbs.twimg.com/profile_banners/53563332/1524852932,https://pbs.twimg.com/profile_images/1318688323016249344/lz30Q9xz_normal.jpg,False,False,[],normal
8.250302968441856e+17,8.250302968441856e+17,Elizabeth Higgins,Elizabe29599604,"Chicago, IL",,Resister. Biden/Harris. BLM.,False,False,3223.0,4787.0,7.0,643871.0,387938.0,2017-01-27 17:18:45,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,True,True,[],normal
32178272.0,32178272.0,Jake every day,willmay,"Virginia, USA",https://t.co/QVltGiWXjK,"Person, mostly RT smart people, otherwise my thoughts.",False,False,683.0,2765.0,3.0,252407.0,90321.0,2009-04-16 22:18:33,https://pbs.twimg.com/profile_banners/32178272/1612968784,https://pbs.twimg.com/profile_images/1550326802110873603/eSmdEQIy_normal.jpg,True,False,[],normal
636735646.0,636735646.0,DCall,Dcall1951,"Florida, USA",,"Reading, kayaking, biking, music, golf. Believer. Range rat. Husband, Father, Grandfather. 🇺🇸🙏🏻",False,False,236.0,64.0,2.0,209008.0,233499.0,2012-07-16 05:45:46,,https://pbs.twimg.com/profile_images/1542872096027643905/Mv-_W7TV_normal.jpg,True,False,[],normal
1.4962635969883791e+18,1.4962635969883791e+18,Red Toryism,Red_Toryism,,,"True Progressive Conservative

Against the Conservative party of Canada and its following of American values and ideals.

Canada needs a PC party again.",False,False,523.0,445.0,6.0,7928.0,44598.0,2022-02-22 23:20:28,https://pbs.twimg.com/profile_banners/1496263596988379136/1645589825,https://pbs.twimg.com/profile_images/1545864485755387904/jM3_k0VE_normal.jpg,True,False,[],normal
1.3150625877892792e+18,1.3150625877892792e+18,Rednecklefty,rednecklefty,,,Student of people and the world.,False,False,931.0,4980.0,3.0,527331.0,88895.0,2020-10-10 22:52:20,,https://pbs.twimg.com/profile_images/1315450350674104321/vrGDn2iK_normal.jpg,True,False,[],normal
